Id,Name,Type,Sweet,Bitter,Sour,Salty,Umami,Floral,Fruity,Citrus,Woody,Chemical,SweetSmell,Minty,Toasted,Cereal,Decayed
22,"Tsingdao Flower (Dual)","",4,8,3,1,2,0,0,0,0,0,0,0,0,0,0
23,"Agnus (Bittering)","",2,8,1,1,2,0,0,0,0,0,0,0,0,0,0
24,"Amethyst (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
25,"Bohemie (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
26,"Boomerang (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
27,"Bor (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
28,"Gaia (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
29,"Harmonie (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
30,"Kazbek (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
31,"Mimosa (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
32,"Premiant (Bittering)","",2,8,1,1,2,0,0,0,0,0,0,0,0,0,0
33,"Saaz (CZ) (Aroma)","",2,4,1,1,1,0,0,0,0,0,0,0,0,0,0
34,"Saaz Late (Aroma)","",2,7,1,1,2,0,0,0,0,0,0,0,0,0,0
35,"Sládek (Aroma)","",2,6,1,1,2,0,0,0,0,0,0,0,0,0,0
36,"Vital (Dual)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
37,"Aramis (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
38,"Barbe Rouge (Aroma)","",2,6,1,1,2,0,0,0,0,0,0,0,0,0,0
39,"Bouclier (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
40,"Elixir (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
41,"Mistral (Dual)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
42,"Petit Blanc (Aroma)","",2,6,1,1,2,0,0,0,0,0,0,0,0,0,0
43,"Strisselspalt (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
44,"Tardif de Bourgogne (Aroma)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
45,"Triskel (Aroma)","",2,6,1,1,2,0,0,0,0,0,0,0,0,0,0
46,"Akoya (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
47,"Ariana (Aroma)","",3,7,2,1,2,0,0,0,0,0,0,0,0,0,0
48,"Aurum (Aroma)","",3,7,2,1,2,0,0,0,0,0,0,0,0,0,0
49,"Brewer's Gold (GR) (Bittering)","",2,8,1,1,2,0,0,0,0,0,0,0,0,0,0
50,"Callista (Aroma)","",3,7,2,1,2,0,0,0,0,0,0,0,0,0,0
51,"Diamant (Aroma)","",3,7,2,1,2,0,0,0,0,0,0,0,0,0,0
52,"Hallertau Blanc (Aroma)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
53,"Hallertau Gold (Aroma)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
54,"Hallertau Mittelfrüh (Aroma)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
55,"Hallertau Tradition (Aroma)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
56,"Herkules (Bittering)","",3,8,2,1,2,0,0,0,0,0,0,0,0,0,0
57,"Hersbrucker (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
58,"Huell Melon (Aroma)","",4,6,2,1,2,0,0,0,0,0,0,0,0,0,0
59,"Hüller Bitterer (Bittering)","",2,8,1,1,2,0,0,0,0,0,0,0,0,0,0
60,"Magnum (GR) (Bittering)","",2,9,1,1,2,0,0,0,0,0,0,0,0,0,0
61,"Mandarina Bavaria (Dual)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
62,"Merkur (Dual)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
63,"Monroe (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
64,"Northern Brewer (GR) (Bittering)","",2,8,1,1,2,0,0,0,0,0,0,0,0,0,0
65,"Opal (Dual)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
66,"Orion (Dual)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
67,"Perle (GR) (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
68,"Polaris (Dual)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
69,"Relax (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
70,"Saphir (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
71,"Smaragd (Bittering)","",2,8,1,1,2,0,0,0,0,0,0,0,0,0,0
72,"Solero (Aroma)","",4,6,2,1,2,0,0,0,0,0,0,0,0,0,0
73,"Spalt (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
74,"Spalter Select (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
75,"Tango (Dual)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
76,"Tettnanger (Dual)","",3,7,2,1,2,0,0,0,0,0,0,0,0,0,0
77,"Wurttemberg (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
78,"Yellow Sub (Aroma)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
79,"Junga (Bittering)","",2,7,1,1,2,0,0,0,0,0,0,0,0,0,0
80,"Magnat (Dual)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
81,"Marynka (Dual)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
82,"Pulawski (Dual)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
83,"Sybilla (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
84,"Zula (Dual)","",4,7,2,1,2,0,0,0,0,0,0,0,0,0,0
85,"Apolon (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
86,"Atlas (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
87,"Aurora (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
88,"Bobek (Bittering)","",2,8,1,1,2,0,0,0,0,0,0,0,0,0,0
89,"Cekin (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
90,"Celeia (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
91,"Dana (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
92,"Styrian Cardinal (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
93,"Styrian Dragon (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
94,"Styrian Eagle (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
95,"Styrian Fox (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
96,"Styrian Golding (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
97,"Styrian Kolibri (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
98,"Styrian Wolf (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
99,"African Queen (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
100,"Southern Aroma (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
101,"Southern Brewer (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
102,"Southern Dawn (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
103,"Southern Passion (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
104,"Southern Promise (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
105,"Southern Star (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
106,"Southern Sublime (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
107,"Southern Tropic (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
108,"XJA2/436 (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
109,"Zagrava (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
110,"Admiral (Bittering)","",3,8,2,1,2,0,0,0,0,0,0,0,0,0,0
111,"Archer (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
112,"Beata (Bittering)","",2,8,1,1,2,0,0,0,0,0,0,0,0,0,0
113,"Boadicea (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
114,"Bramling Cross (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
115,"Challenger (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
116,"Defender (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
117,"East Kent Goldings (Bittering)","",2,8,1,1,2,0,0,0,0,0,0,0,0,0,0
118,"Endeavour (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
119,"Epic (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
120,"Ernest (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
121,"First Gold (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
122,"Flyer (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
123,"Fuggle (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
124,"Godiva (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
125,"Hallertau Taurus (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
126,"Harlequin (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
127,"Herald (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
128,"Jester (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
129,"Minstrel (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
130,"Mystic (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
131,"Olicana (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
132,"Omega (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
133,"Phoenix (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
134,"Pilgrim (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
135,"Pilot (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
136,"Pioneer (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
137,"Progress (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
138,"Sovereign (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
139,"Sussex (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
140,"Target (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
141,"Whitbread Golding Variety (WGV) (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
142,"Yeoman (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
143,"Adeena (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
144,"Ahhhroma (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
145,"Ahtanum (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
146,"Aloha Blend (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
147,"Altus (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
148,"Amarillo (Aroma)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
149,"Apollo (Bittering)","",2,8,1,1,2,0,0,0,0,0,0,0,0,0,0
150,"Aquila (Aroma)","",3,7,2,1,2,0,0,0,0,0,0,0,0,0,0
151,"Arcadian (Aroma)","",3,7,2,1,2,0,0,0,0,0,0,0,0,0,0
152,"Azacca (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
153,"Banner (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
154,"Belma (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
155,"Bergamot (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
156,"Bianca (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
157,"Bitter Gold (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
158,"Bravo (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
159,"Brewer's Gold (US) (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
160,"BRU-1 (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
161,"Bullion (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
162,"Buzz Bullets (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
163,"Caliente (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
164,"Calypso (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
165,"Cascade (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
166,"Cashmere (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
167,"Centennial (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
168,"Chelan (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
169,"Chinook (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
170,"Citra (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
171,"Cluster (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
172,"Cluster Fugget Blend (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
173,"Columbia (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
174,"Columbus (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
175,"Comet (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
176,"Contessa (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
177,"Crystal (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
178,"CTZ (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
179,"Delta (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
180,"Diamond Springs (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
181,"Ekuanot (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
182,"El Dorado (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
183,"Emerald Spire (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
184,"Equinox (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
185,"Eroica (Bittering)","",2,9,2,1,2,0,0,0,0,0,0,0,0,0,0
186,"Eureka (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
187,"Evergreen Blend (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
188,"Falconer's Flight (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
189,"Falconer's Flight 7CS (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
190,"Fantasia Blend (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
191,"Galena (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
192,"Gemini (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
193,"Glacier (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
194,"Golding (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
195,"Grungeist (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
196,"Hallertau (US) (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
197,"Hartwick (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
198,"HBC 586 (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
199,"HBC 630 (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
200,"HBC 692 (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
201,"Helios (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
202,"Horizon (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
203,"Hydra (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
204,"Idaho 7 (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
205,"Idaho Gem (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
206,"Independence (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
207,"Jarrylo (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
208,"Lambic (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
209,"Lawton (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
210,"Lemondrop (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
211,"Liberty (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
212,"Loral (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
213,"Lotus (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
214,"Mackinac (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
215,"Magnum (US) (Bittering)","",2,9,1,1,2,0,0,0,0,0,0,0,0,0,0
216,"McKenzie (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
217,"Medusa (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
218,"Meridian (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
219,"Michigan Copper (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
220,"Millennium (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
221,"Mosaic (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
222,"Mount Hood (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
223,"Mount Rainier (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
224,"Multihead (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
225,"Newport (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
226,"Nobility Blend (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
227,"Northdown (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
228,"Northern Brewer (US) (Bittering)","",2,8,1,1,2,0,0,0,0,0,0,0,0,0,0
229,"Nugget (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
230,"Old Mission (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
231,"Olympic (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
232,"Pacific Crest (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
233,"Pahto (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
234,"Palisade (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
235,"Paradigm (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
236,"Pekko (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
237,"Perle (US) (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
238,"Petoskey (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
239,"Prussian (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
240,"Saaz (US) (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
241,"Sabro (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
242,"Samba (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
243,"Santiam (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
244,"Satus (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
245,"Saugatuck (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
246,"Sequoia Blend (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
247,"Shaddock (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
248,"Simcoe (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
249,"Sitiva Blend (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
250,"Sonnet (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
251,"Sterling (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
252,"Sticky Fingers Blend (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
253,"Stirling (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
254,"Strata (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
255,"Sultana (Denali) (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
256,"Summit (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
257,"Sun (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
258,"Sunbeam (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
259,"Super Galena (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
260,"Tahoma (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
261,"Talisman (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
262,"Talus (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
263,"Teamaker (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
264,"Tettnang (US) (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
265,"Tillicum (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
266,"TNT Blend (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
267,"Tomahawk (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
268,"Trident (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
269,"TriplePearl (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
270,"Triumph (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
271,"Tropica (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
272,"Ultra (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
273,"USDA 008 (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
274,"Vanguard (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
275,"Vista (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
276,"Walhalla (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
277,"Warrior (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
278,"Wild Wolf (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
279,"Willamette (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
280,"X13459 (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
281,"Yakima Cluster (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
282,"Yakima Gold (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
283,"YQH-1380 (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
284,"Zamba Blend (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
285,"Zappa (Aroma)","",3,6,2,1,2,0,0,0,0,0,0,0,0,0,0
286,"Zenia (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
287,"Zenith (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
288,"Zeus (Bittering)","",2,8,2,1,2,0,0,0,0,0,0,0,0,0,0
289,"Zythos (Dual)","",4,7,3,1,2,0,0,0,0,0,0,0,0,0,0
